sally     	 417	67,69,69,70,71,71,72,72,74,81
paulie    	 418	67,68,68,71,72,72,74,74,75,77
nando     	 419	67,69,70,70,71,72,72,72,75,76
tanja     	 420	67,68,69,72,72,72,73,74,76,77
mike      	 421	67,69,71,71,71,72,74,75,75,78
butch     	 421	67,70,71,71,71,71,72,74,75,75
vince     	 422	67,69,71,71,71,73,74,75,76,77
jimj      	 422	67,69,71,71,72,72,75,76,76,77
robt      	 422	69,69,70,71,71,72,72,72,75,76
peter     	 423	68,69,71,71,72,72,75,75,76,76
pt        	 423	68,69,71,71,72,72,75,76,76,77
jerry     	 423	69,70,71,71,71,71,72,74,75,75
spitz     	 424	67,70,71,72,72,72,75,76,77,77
ron       	 424	68,70,70,72,72,72,75,76,77,77
mac       	 424	68,70,71,71,72,72,75,75,76,77
frankie   	 424	69,70,71,71,71,72,75,75,76,77
joe       	 425	67,70,71,71,72,74,75,76,77,78
tana      	 425	67,70,71,71,72,74,75,76,77,78
bryan     	 425	69,70,71,71,72,72,75,77,77,78
tina      	 425	69,71,71,71,71,72,72,72,74,78
jamesc    	 426	68,71,71,71,72,73,74,75,75,75
johnsr    	 426	68,71,71,72,72,72,75,75,75,76
ernst     	 426	69,70,71,72,72,72,74,75,76,86
robg      	 426	69,71,71,71,72,72,72,75,75,76
crockett  	 427	67,70,72,72,72,74,75,75,76,77
dave      	 427	70,71,71,71,72,72,74,74,75,75
john      	 428	69,71,72,72,72,72,73,74,75,78
freddy    	 429	69,71,72,72,72,73,74,75,75,81
wayne     	 429	70,71,71,72,72,73,73,75,75,77
prodan    	 430	71,71,71,72,72,73,74,75,77,78
jimi      	 431	71,71,71,72,72,74,74,75,75,76
judy      	 431	71,71,71,72,72,74,74,75,75,81
nick      	 432	69,71,72,72,73,75,75,75,75,78
ben       	 433	71,71,72,72,73,74,75,75,76,81
dano      	 434	71,71,72,72,73,75,75,75,77,78
